,image,mask
20,archive/Forest Segmented/Forest Segmented/images/111335_sat_37.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_37.jpg
21,archive/Forest Segmented/Forest Segmented/images/111335_sat_44.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_44.jpg
22,archive/Forest Segmented/Forest Segmented/images/111335_sat_45.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_45.jpg
23,archive/Forest Segmented/Forest Segmented/images/111335_sat_46.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_46.jpg
24,archive/Forest Segmented/Forest Segmented/images/111335_sat_47.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_47.jpg
25,archive/Forest Segmented/Forest Segmented/images/111335_sat_48.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_48.jpg
26,archive/Forest Segmented/Forest Segmented/images/111335_sat_54.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_54.jpg
27,archive/Forest Segmented/Forest Segmented/images/111335_sat_55.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_55.jpg
28,archive/Forest Segmented/Forest Segmented/images/111335_sat_56.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_56.jpg
29,archive/Forest Segmented/Forest Segmented/images/111335_sat_57.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_57.jpg
30,archive/Forest Segmented/Forest Segmented/images/111335_sat_58.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_58.jpg
31,archive/Forest Segmented/Forest Segmented/images/111335_sat_60.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_60.jpg
32,archive/Forest Segmented/Forest Segmented/images/111335_sat_61.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_61.jpg
33,archive/Forest Segmented/Forest Segmented/images/111335_sat_66.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_66.jpg
34,archive/Forest Segmented/Forest Segmented/images/111335_sat_67.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_67.jpg
35,archive/Forest Segmented/Forest Segmented/images/111335_sat_70.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_70.jpg
36,archive/Forest Segmented/Forest Segmented/images/111335_sat_71.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_71.jpg
37,archive/Forest Segmented/Forest Segmented/images/111335_sat_73.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_73.jpg
38,archive/Forest Segmented/Forest Segmented/images/111335_sat_74.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_74.jpg
39,archive/Forest Segmented/Forest Segmented/images/111335_sat_75.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_75.jpg
40,archive/Forest Segmented/Forest Segmented/images/111335_sat_76.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_76.jpg
41,archive/Forest Segmented/Forest Segmented/images/111335_sat_77.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_77.jpg
42,archive/Forest Segmented/Forest Segmented/images/111335_sat_78.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_78.jpg
43,archive/Forest Segmented/Forest Segmented/images/111335_sat_84.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_84.jpg
44,archive/Forest Segmented/Forest Segmented/images/111335_sat_85.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_85.jpg
45,archive/Forest Segmented/Forest Segmented/images/111335_sat_86.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_86.jpg
46,archive/Forest Segmented/Forest Segmented/images/111335_sat_87.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_87.jpg
47,archive/Forest Segmented/Forest Segmented/images/111335_sat_88.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_88.jpg
48,archive/Forest Segmented/Forest Segmented/images/114433_sat_51.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_51.jpg
49,archive/Forest Segmented/Forest Segmented/images/114433_sat_52.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_52.jpg
50,archive/Forest Segmented/Forest Segmented/images/114433_sat_53.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_53.jpg
51,archive/Forest Segmented/Forest Segmented/images/114433_sat_60.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_60.jpg
52,archive/Forest Segmented/Forest Segmented/images/114433_sat_61.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_61.jpg
53,archive/Forest Segmented/Forest Segmented/images/114433_sat_62.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_62.jpg
54,archive/Forest Segmented/Forest Segmented/images/114433_sat_63.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_63.jpg
55,archive/Forest Segmented/Forest Segmented/images/114433_sat_70.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_70.jpg
56,archive/Forest Segmented/Forest Segmented/images/114433_sat_71.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_71.jpg
57,archive/Forest Segmented/Forest Segmented/images/114433_sat_73.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_73.jpg
58,archive/Forest Segmented/Forest Segmented/images/114433_sat_74.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_74.jpg
59,archive/Forest Segmented/Forest Segmented/images/114433_sat_75.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_75.jpg
60,archive/Forest Segmented/Forest Segmented/images/114433_sat_76.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_76.jpg
61,archive/Forest Segmented/Forest Segmented/images/114433_sat_80.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_80.jpg
62,archive/Forest Segmented/Forest Segmented/images/114433_sat_81.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_81.jpg
63,archive/Forest Segmented/Forest Segmented/images/114433_sat_82.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_82.jpg
64,archive/Forest Segmented/Forest Segmented/images/114433_sat_83.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_83.jpg
65,archive/Forest Segmented/Forest Segmented/images/114433_sat_84.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_84.jpg
66,archive/Forest Segmented/Forest Segmented/images/114433_sat_85.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_85.jpg
67,archive/Forest Segmented/Forest Segmented/images/114433_sat_86.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_86.jpg
68,archive/Forest Segmented/Forest Segmented/images/114433_sat_87.jpg,archive/Forest Segmented/Forest Segmented/mask/114433_mask_87.jpg
69,archive/Forest Segmented/Forest Segmented/images/114473_sat_60.jpg,archive/Forest Segmented/Forest Segmented/mask/114473_mask_60.jpg
70,archive/Forest Segmented/Forest Segmented/images/114473_sat_70.jpg,archive/Forest Segmented/Forest Segmented/mask/114473_mask_70.jpg
71,archive/Forest Segmented/Forest Segmented/images/114473_sat_86.jpg,archive/Forest Segmented/Forest Segmented/mask/114473_mask_86.jpg
72,archive/Forest Segmented/Forest Segmented/images/114473_sat_87.jpg,archive/Forest Segmented/Forest Segmented/mask/114473_mask_87.jpg
73,archive/Forest Segmented/Forest Segmented/images/114473_sat_88.jpg,archive/Forest Segmented/Forest Segmented/mask/114473_mask_88.jpg
74,archive/Forest Segmented/Forest Segmented/images/119079_sat_00.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_00.jpg
75,archive/Forest Segmented/Forest Segmented/images/119079_sat_01.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_01.jpg
76,archive/Forest Segmented/Forest Segmented/images/119079_sat_04.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_04.jpg
77,archive/Forest Segmented/Forest Segmented/images/119079_sat_05.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_05.jpg
78,archive/Forest Segmented/Forest Segmented/images/119079_sat_06.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_06.jpg
79,archive/Forest Segmented/Forest Segmented/images/119079_sat_07.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_07.jpg
80,archive/Forest Segmented/Forest Segmented/images/119079_sat_10.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_10.jpg
81,archive/Forest Segmented/Forest Segmented/images/119079_sat_11.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_11.jpg
82,archive/Forest Segmented/Forest Segmented/images/119079_sat_12.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_12.jpg
83,archive/Forest Segmented/Forest Segmented/images/119079_sat_16.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_16.jpg
84,archive/Forest Segmented/Forest Segmented/images/119079_sat_17.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_17.jpg
85,archive/Forest Segmented/Forest Segmented/images/119079_sat_18.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_18.jpg
86,archive/Forest Segmented/Forest Segmented/images/119079_sat_22.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_22.jpg
87,archive/Forest Segmented/Forest Segmented/images/119079_sat_23.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_23.jpg
88,archive/Forest Segmented/Forest Segmented/images/119079_sat_28.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_28.jpg
89,archive/Forest Segmented/Forest Segmented/images/119079_sat_31.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_31.jpg
90,archive/Forest Segmented/Forest Segmented/images/119079_sat_32.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_32.jpg
91,archive/Forest Segmented/Forest Segmented/images/119079_sat_33.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_33.jpg
92,archive/Forest Segmented/Forest Segmented/images/119079_sat_37.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_37.jpg
93,archive/Forest Segmented/Forest Segmented/images/119079_sat_38.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_38.jpg
94,archive/Forest Segmented/Forest Segmented/images/119079_sat_40.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_40.jpg
95,archive/Forest Segmented/Forest Segmented/images/119079_sat_41.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_41.jpg
96,archive/Forest Segmented/Forest Segmented/images/119079_sat_42.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_42.jpg
97,archive/Forest Segmented/Forest Segmented/images/119079_sat_43.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_43.jpg
98,archive/Forest Segmented/Forest Segmented/images/119079_sat_47.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_47.jpg
99,archive/Forest Segmented/Forest Segmented/images/119079_sat_48.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_48.jpg
100,archive/Forest Segmented/Forest Segmented/images/119079_sat_50.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_50.jpg
101,archive/Forest Segmented/Forest Segmented/images/119079_sat_51.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_51.jpg
102,archive/Forest Segmented/Forest Segmented/images/119079_sat_52.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_52.jpg
103,archive/Forest Segmented/Forest Segmented/images/119079_sat_60.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_60.jpg
104,archive/Forest Segmented/Forest Segmented/images/119079_sat_61.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_61.jpg
105,archive/Forest Segmented/Forest Segmented/images/119079_sat_62.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_62.jpg
106,archive/Forest Segmented/Forest Segmented/images/119079_sat_63.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_63.jpg
107,archive/Forest Segmented/Forest Segmented/images/119079_sat_70.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_70.jpg
108,archive/Forest Segmented/Forest Segmented/images/119079_sat_71.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_71.jpg
109,archive/Forest Segmented/Forest Segmented/images/119079_sat_72.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_72.jpg
110,archive/Forest Segmented/Forest Segmented/images/119079_sat_73.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_73.jpg
111,archive/Forest Segmented/Forest Segmented/images/119079_sat_77.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_77.jpg
112,archive/Forest Segmented/Forest Segmented/images/119079_sat_78.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_78.jpg
113,archive/Forest Segmented/Forest Segmented/images/119079_sat_80.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_80.jpg
114,archive/Forest Segmented/Forest Segmented/images/119079_sat_81.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_81.jpg
115,archive/Forest Segmented/Forest Segmented/images/119079_sat_87.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_87.jpg
116,archive/Forest Segmented/Forest Segmented/images/119079_sat_88.jpg,archive/Forest Segmented/Forest Segmented/mask/119079_mask_88.jpg
117,archive/Forest Segmented/Forest Segmented/images/122104_sat_00.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_00.jpg
118,archive/Forest Segmented/Forest Segmented/images/122104_sat_01.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_01.jpg
119,archive/Forest Segmented/Forest Segmented/images/122104_sat_03.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_03.jpg
120,archive/Forest Segmented/Forest Segmented/images/122104_sat_04.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_04.jpg
121,archive/Forest Segmented/Forest Segmented/images/122104_sat_11.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_11.jpg
122,archive/Forest Segmented/Forest Segmented/images/122104_sat_13.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_13.jpg
123,archive/Forest Segmented/Forest Segmented/images/122104_sat_14.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_14.jpg
124,archive/Forest Segmented/Forest Segmented/images/122104_sat_15.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_15.jpg
125,archive/Forest Segmented/Forest Segmented/images/122104_sat_16.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_16.jpg
126,archive/Forest Segmented/Forest Segmented/images/122104_sat_20.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_20.jpg
127,archive/Forest Segmented/Forest Segmented/images/122104_sat_21.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_21.jpg
128,archive/Forest Segmented/Forest Segmented/images/122104_sat_22.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_22.jpg
129,archive/Forest Segmented/Forest Segmented/images/122104_sat_23.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_23.jpg
130,archive/Forest Segmented/Forest Segmented/images/122104_sat_24.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_24.jpg
131,archive/Forest Segmented/Forest Segmented/images/122104_sat_25.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_25.jpg
132,archive/Forest Segmented/Forest Segmented/images/122104_sat_26.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_26.jpg
133,archive/Forest Segmented/Forest Segmented/images/122104_sat_30.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_30.jpg
134,archive/Forest Segmented/Forest Segmented/images/122104_sat_31.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_31.jpg
135,archive/Forest Segmented/Forest Segmented/images/122104_sat_32.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_32.jpg
136,archive/Forest Segmented/Forest Segmented/images/122104_sat_34.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_34.jpg
137,archive/Forest Segmented/Forest Segmented/images/122104_sat_40.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_40.jpg
138,archive/Forest Segmented/Forest Segmented/images/122104_sat_41.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_41.jpg
139,archive/Forest Segmented/Forest Segmented/images/122104_sat_42.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_42.jpg
140,archive/Forest Segmented/Forest Segmented/images/122104_sat_43.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_43.jpg
141,archive/Forest Segmented/Forest Segmented/images/122104_sat_50.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_50.jpg
142,archive/Forest Segmented/Forest Segmented/images/122104_sat_51.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_51.jpg
143,archive/Forest Segmented/Forest Segmented/images/122104_sat_52.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_52.jpg
144,archive/Forest Segmented/Forest Segmented/images/122104_sat_53.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_53.jpg
145,archive/Forest Segmented/Forest Segmented/images/122104_sat_54.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_54.jpg
146,archive/Forest Segmented/Forest Segmented/images/122104_sat_55.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_55.jpg
147,archive/Forest Segmented/Forest Segmented/images/122104_sat_56.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_56.jpg
148,archive/Forest Segmented/Forest Segmented/images/122104_sat_57.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_57.jpg
149,archive/Forest Segmented/Forest Segmented/images/122104_sat_60.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_60.jpg
150,archive/Forest Segmented/Forest Segmented/images/122104_sat_61.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_61.jpg
151,archive/Forest Segmented/Forest Segmented/images/122104_sat_62.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_62.jpg
152,archive/Forest Segmented/Forest Segmented/images/122104_sat_63.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_63.jpg
153,archive/Forest Segmented/Forest Segmented/images/122104_sat_64.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_64.jpg
154,archive/Forest Segmented/Forest Segmented/images/122104_sat_65.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_65.jpg
155,archive/Forest Segmented/Forest Segmented/images/122104_sat_70.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_70.jpg
156,archive/Forest Segmented/Forest Segmented/images/122104_sat_71.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_71.jpg
157,archive/Forest Segmented/Forest Segmented/images/122104_sat_73.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_73.jpg
158,archive/Forest Segmented/Forest Segmented/images/122104_sat_74.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_74.jpg
159,archive/Forest Segmented/Forest Segmented/images/122104_sat_80.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_80.jpg
160,archive/Forest Segmented/Forest Segmented/images/122104_sat_81.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_81.jpg
161,archive/Forest Segmented/Forest Segmented/images/122104_sat_84.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_84.jpg
162,archive/Forest Segmented/Forest Segmented/images/122104_sat_85.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_85.jpg
163,archive/Forest Segmented/Forest Segmented/images/122104_sat_86.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_86.jpg
164,archive/Forest Segmented/Forest Segmented/images/122104_sat_87.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_87.jpg
165,archive/Forest Segmented/Forest Segmented/images/122104_sat_88.jpg,archive/Forest Segmented/Forest Segmented/mask/122104_mask_88.jpg
166,archive/Forest Segmented/Forest Segmented/images/122178_sat_01.jpg,archive/Forest Segmented/Forest Segmented/mask/122178_mask_01.jpg
167,archive/Forest Segmented/Forest Segmented/images/122178_sat_02.jpg,archive/Forest Segmented/Forest Segmented/mask/122178_mask_02.jpg
168,archive/Forest Segmented/Forest Segmented/images/122178_sat_03.jpg,archive/Forest Segmented/Forest Segmented/mask/122178_mask_03.jpg
169,archive/Forest Segmented/Forest Segmented/images/122178_sat_04.jpg,archive/Forest Segmented/Forest Segmented/mask/122178_mask_04.jpg
170,archive/Forest Segmented/Forest Segmented/images/122178_sat_05.jpg,archive/Forest Segmented/Forest Segmented/mask/122178_mask_05.jpg
171,archive/Forest Segmented/Forest Segmented/images/122178_sat_06.jpg,archive/Forest Segmented/Forest Segmented/mask/122178_mask_06.jpg
172,archive/Forest Segmented/Forest Segmented/images/122178_sat_07.jpg,archive/Forest Segmented/Forest Segmented/mask/122178_mask_07.jpg
173,archive/Forest Segmented/Forest Segmented/images/122178_sat_11.jpg,archive/Forest Segmented/Forest Segmented/mask/122178_mask_11.jpg
174,archive/Forest Segmented/Forest Segmented/images/122178_sat_12.jpg,archive/Forest Segmented/Forest Segmented/mask/122178_mask_12.jpg
175,archive/Forest Segmented/Forest Segmented/images/122178_sat_13.jpg,archive/Forest Segmented/Forest Segmented/mask/122178_mask_13.jpg
176,archive/Forest Segmented/Forest Segmented/images/122178_sat_14.jpg,archive/Forest Segmented/Forest Segmented/mask/122178_mask_14.jpg
177,archive/Forest Segmented/Forest Segmented/images/122178_sat_15.jpg,archive/Forest Segmented/Forest Segmented/mask/122178_mask_15.jpg
178,archive/Forest Segmented/Forest Segmented/images/122178_sat_16.jpg,archive/Forest Segmented/Forest Segmented/mask/122178_mask_16.jpg
179,archive/Forest Segmented/Forest Segmented/images/122178_sat_17.jpg,archive/Forest Segmented/Forest Segmented/mask/122178_mask_17.jpg
180,archive/Forest Segmented/Forest Segmented/images/122178_sat_18.jpg,archive/Forest Segmented/Forest Segmented/mask/122178_mask_18.jpg
181,archive/Forest Segmented/Forest Segmented/images/126796_sat_30.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_30.jpg
182,archive/Forest Segmented/Forest Segmented/images/126796_sat_31.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_31.jpg
183,archive/Forest Segmented/Forest Segmented/images/126796_sat_32.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_32.jpg
184,archive/Forest Segmented/Forest Segmented/images/126796_sat_33.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_33.jpg
185,archive/Forest Segmented/Forest Segmented/images/126796_sat_34.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_34.jpg
186,archive/Forest Segmented/Forest Segmented/images/126796_sat_35.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_35.jpg
187,archive/Forest Segmented/Forest Segmented/images/126796_sat_36.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_36.jpg
188,archive/Forest Segmented/Forest Segmented/images/126796_sat_41.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_41.jpg
189,archive/Forest Segmented/Forest Segmented/images/126796_sat_42.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_42.jpg
190,archive/Forest Segmented/Forest Segmented/images/126796_sat_43.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_43.jpg
191,archive/Forest Segmented/Forest Segmented/images/126796_sat_46.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_46.jpg
192,archive/Forest Segmented/Forest Segmented/images/126796_sat_51.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_51.jpg
193,archive/Forest Segmented/Forest Segmented/images/126796_sat_52.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_52.jpg
194,archive/Forest Segmented/Forest Segmented/images/126796_sat_56.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_56.jpg
195,archive/Forest Segmented/Forest Segmented/images/126796_sat_57.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_57.jpg
196,archive/Forest Segmented/Forest Segmented/images/126796_sat_60.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_60.jpg
197,archive/Forest Segmented/Forest Segmented/images/126796_sat_61.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_61.jpg
198,archive/Forest Segmented/Forest Segmented/images/126796_sat_62.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_62.jpg
199,archive/Forest Segmented/Forest Segmented/images/126796_sat_63.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_63.jpg
200,archive/Forest Segmented/Forest Segmented/images/126796_sat_66.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_66.jpg
201,archive/Forest Segmented/Forest Segmented/images/126796_sat_67.jpg,archive/Forest Segmented/Forest Segmented/mask/126796_mask_67.jpg
