,image,mask
14,archive/Forest Segmented/Forest Segmented/images/15573_sat_20.jpg,archive/Forest Segmented/Forest Segmented/masks/122178_mask_03.jpg
2749,archive/Forest Segmented/Forest Segmented/images/767012_sat_17.jpg,archive/Forest Segmented/Forest Segmented/masks/524056_mask_71.jpg
945,archive/Forest Segmented/Forest Segmented/images/299287_sat_30.jpg,archive/Forest Segmented/Forest Segmented/masks/688544_mask_44.jpg
247,archive/Forest Segmented/Forest Segmented/images/417313_sat_63.jpg,archive/Forest Segmented/Forest Segmented/masks/24813_mask_42.jpg
4145,archive/Forest Segmented/Forest Segmented/images/634717_sat_62.jpg,archive/Forest Segmented/Forest Segmented/masks/351271_mask_17.jpg
360,archive/Forest Segmented/Forest Segmented/images/170535_sat_57.jpg,archive/Forest Segmented/Forest Segmented/masks/650253_mask_50.jpg
4758,archive/Forest Segmented/Forest Segmented/images/715846_sat_56.jpg,archive/Forest Segmented/Forest Segmented/masks/15573_mask_83.jpg
1662,archive/Forest Segmented/Forest Segmented/images/739122_sat_57.jpg,archive/Forest Segmented/Forest Segmented/masks/749375_mask_85.jpg
4948,archive/Forest Segmented/Forest Segmented/images/202277_sat_21.jpg,archive/Forest Segmented/Forest Segmented/masks/392711_mask_03.jpg
4557,archive/Forest Segmented/Forest Segmented/images/621206_sat_75.jpg,archive/Forest Segmented/Forest Segmented/masks/691384_mask_85.jpg
3377,archive/Forest Segmented/Forest Segmented/images/935318_sat_48.jpg,archive/Forest Segmented/Forest Segmented/masks/210473_mask_57.jpg
3326,archive/Forest Segmented/Forest Segmented/images/202277_sat_54.jpg,archive/Forest Segmented/Forest Segmented/masks/575902_mask_78.jpg
2788,archive/Forest Segmented/Forest Segmented/images/351271_sat_75.jpg,archive/Forest Segmented/Forest Segmented/masks/192918_mask_40.jpg
3657,archive/Forest Segmented/Forest Segmented/images/533952_sat_84.jpg,archive/Forest Segmented/Forest Segmented/masks/170535_mask_67.jpg
4953,archive/Forest Segmented/Forest Segmented/images/345134_sat_58.jpg,archive/Forest Segmented/Forest Segmented/masks/888343_mask_05.jpg
4991,archive/Forest Segmented/Forest Segmented/images/841621_sat_71.jpg,archive/Forest Segmented/Forest Segmented/masks/7906_mask_51.jpg
2990,archive/Forest Segmented/Forest Segmented/images/877160_sat_85.jpg,archive/Forest Segmented/Forest Segmented/masks/897901_mask_48.jpg
490,archive/Forest Segmented/Forest Segmented/images/119079_sat_04.jpg,archive/Forest Segmented/Forest Segmented/masks/981253_mask_71.jpg
862,archive/Forest Segmented/Forest Segmented/images/943943_sat_82.jpg,archive/Forest Segmented/Forest Segmented/masks/277994_mask_62.jpg
3542,archive/Forest Segmented/Forest Segmented/images/76759_sat_13.jpg,archive/Forest Segmented/Forest Segmented/masks/715846_mask_35.jpg
2314,archive/Forest Segmented/Forest Segmented/images/850510_sat_13.jpg,archive/Forest Segmented/Forest Segmented/masks/950926_mask_62.jpg
2024,archive/Forest Segmented/Forest Segmented/images/827126_sat_73.jpg,archive/Forest Segmented/Forest Segmented/masks/897901_mask_78.jpg
3235,archive/Forest Segmented/Forest Segmented/images/691384_sat_55.jpg,archive/Forest Segmented/Forest Segmented/masks/202277_mask_31.jpg
2307,archive/Forest Segmented/Forest Segmented/images/210473_sat_03.jpg,archive/Forest Segmented/Forest Segmented/masks/126796_mask_46.jpg
4461,archive/Forest Segmented/Forest Segmented/images/939614_sat_27.jpg,archive/Forest Segmented/Forest Segmented/masks/586222_mask_31.jpg
506,archive/Forest Segmented/Forest Segmented/images/570332_sat_63.jpg,archive/Forest Segmented/Forest Segmented/masks/524056_mask_30.jpg
2804,archive/Forest Segmented/Forest Segmented/images/563092_sat_73.jpg,archive/Forest Segmented/Forest Segmented/masks/858771_mask_82.jpg
25,archive/Forest Segmented/Forest Segmented/images/13415_sat_78.jpg,archive/Forest Segmented/Forest Segmented/masks/784518_mask_60.jpg
2080,archive/Forest Segmented/Forest Segmented/images/644150_sat_38.jpg,archive/Forest Segmented/Forest Segmented/masks/736869_mask_05.jpg
1222,archive/Forest Segmented/Forest Segmented/images/122178_sat_11.jpg,archive/Forest Segmented/Forest Segmented/masks/880610_mask_81.jpg
1113,archive/Forest Segmented/Forest Segmented/images/126796_sat_66.jpg,archive/Forest Segmented/Forest Segmented/masks/133209_mask_18.jpg
4383,archive/Forest Segmented/Forest Segmented/images/665914_sat_41.jpg,archive/Forest Segmented/Forest Segmented/masks/7906_mask_57.jpg
3586,archive/Forest Segmented/Forest Segmented/images/498049_sat_25.jpg,archive/Forest Segmented/Forest Segmented/masks/650253_mask_14.jpg
2319,archive/Forest Segmented/Forest Segmented/images/739122_sat_51.jpg,archive/Forest Segmented/Forest Segmented/masks/126796_mask_52.jpg
4774,archive/Forest Segmented/Forest Segmented/images/740937_sat_71.jpg,archive/Forest Segmented/Forest Segmented/masks/334677_mask_62.jpg
3114,archive/Forest Segmented/Forest Segmented/images/868003_sat_40.jpg,archive/Forest Segmented/Forest Segmented/masks/940229_mask_01.jpg
433,archive/Forest Segmented/Forest Segmented/images/533952_sat_17.jpg,archive/Forest Segmented/Forest Segmented/masks/6399_mask_32.jpg
2526,archive/Forest Segmented/Forest Segmented/images/182422_sat_05.jpg,archive/Forest Segmented/Forest Segmented/masks/3484_mask_64.jpg
3312,archive/Forest Segmented/Forest Segmented/images/119079_sat_42.jpg,archive/Forest Segmented/Forest Segmented/masks/870705_mask_30.jpg
2972,archive/Forest Segmented/Forest Segmented/images/361129_sat_36.jpg,archive/Forest Segmented/Forest Segmented/masks/361129_mask_54.jpg
2638,archive/Forest Segmented/Forest Segmented/images/739122_sat_61.jpg,archive/Forest Segmented/Forest Segmented/masks/518833_mask_13.jpg
2758,archive/Forest Segmented/Forest Segmented/images/691384_sat_46.jpg,archive/Forest Segmented/Forest Segmented/masks/830444_mask_15.jpg
3320,archive/Forest Segmented/Forest Segmented/images/340898_sat_85.jpg,archive/Forest Segmented/Forest Segmented/masks/182422_mask_11.jpg
2226,archive/Forest Segmented/Forest Segmented/images/406425_sat_62.jpg,archive/Forest Segmented/Forest Segmented/masks/838669_mask_88.jpg
1513,archive/Forest Segmented/Forest Segmented/images/428597_sat_35.jpg,archive/Forest Segmented/Forest Segmented/masks/739122_mask_48.jpg
3058,archive/Forest Segmented/Forest Segmented/images/650253_sat_23.jpg,archive/Forest Segmented/Forest Segmented/masks/122104_mask_50.jpg
1102,archive/Forest Segmented/Forest Segmented/images/210473_sat_61.jpg,archive/Forest Segmented/Forest Segmented/masks/72807_mask_21.jpg
1557,archive/Forest Segmented/Forest Segmented/images/563092_sat_87.jpg,archive/Forest Segmented/Forest Segmented/masks/739760_mask_57.jpg
1566,archive/Forest Segmented/Forest Segmented/images/71619_sat_60.jpg,archive/Forest Segmented/Forest Segmented/masks/76759_mask_73.jpg
3781,archive/Forest Segmented/Forest Segmented/images/71619_sat_52.jpg,archive/Forest Segmented/Forest Segmented/masks/774779_mask_85.jpg
4025,archive/Forest Segmented/Forest Segmented/images/621206_sat_72.jpg,archive/Forest Segmented/Forest Segmented/masks/563092_mask_73.jpg
156,archive/Forest Segmented/Forest Segmented/images/96870_sat_70.jpg,archive/Forest Segmented/Forest Segmented/masks/888343_mask_20.jpg
3125,archive/Forest Segmented/Forest Segmented/images/918446_sat_40.jpg,archive/Forest Segmented/Forest Segmented/masks/774779_mask_40.jpg
2259,archive/Forest Segmented/Forest Segmented/images/122104_sat_63.jpg,archive/Forest Segmented/Forest Segmented/masks/33573_mask_25.jpg
615,archive/Forest Segmented/Forest Segmented/images/299287_sat_23.jpg,archive/Forest Segmented/Forest Segmented/masks/111335_mask_71.jpg
643,archive/Forest Segmented/Forest Segmented/images/299287_sat_27.jpg,archive/Forest Segmented/Forest Segmented/masks/784518_mask_62.jpg
3515,archive/Forest Segmented/Forest Segmented/images/20187_sat_36.jpg,archive/Forest Segmented/Forest Segmented/masks/296279_mask_05.jpg
1765,archive/Forest Segmented/Forest Segmented/images/736869_sat_26.jpg,archive/Forest Segmented/Forest Segmented/masks/291214_mask_70.jpg
1068,archive/Forest Segmented/Forest Segmented/images/827126_sat_13.jpg,archive/Forest Segmented/Forest Segmented/masks/899693_mask_38.jpg
3443,archive/Forest Segmented/Forest Segmented/images/242583_sat_28.jpg,archive/Forest Segmented/Forest Segmented/masks/691384_mask_18.jpg
2770,archive/Forest Segmented/Forest Segmented/images/897901_sat_30.jpg,archive/Forest Segmented/Forest Segmented/masks/210473_mask_44.jpg
4333,archive/Forest Segmented/Forest Segmented/images/72807_sat_02.jpg,archive/Forest Segmented/Forest Segmented/masks/563092_mask_70.jpg
2902,archive/Forest Segmented/Forest Segmented/images/122104_sat_87.jpg,archive/Forest Segmented/Forest Segmented/masks/992507_mask_56.jpg
330,archive/Forest Segmented/Forest Segmented/images/13415_sat_47.jpg,archive/Forest Segmented/Forest Segmented/masks/334677_mask_45.jpg
1569,archive/Forest Segmented/Forest Segmented/images/3484_sat_56.jpg,archive/Forest Segmented/Forest Segmented/masks/428327_mask_11.jpg
2771,archive/Forest Segmented/Forest Segmented/images/428327_sat_31.jpg,archive/Forest Segmented/Forest Segmented/masks/496948_mask_48.jpg
2894,archive/Forest Segmented/Forest Segmented/images/417313_sat_37.jpg,archive/Forest Segmented/Forest Segmented/masks/950926_mask_53.jpg
622,archive/Forest Segmented/Forest Segmented/images/277994_sat_57.jpg,archive/Forest Segmented/Forest Segmented/masks/624916_mask_78.jpg
1721,archive/Forest Segmented/Forest Segmented/images/533952_sat_75.jpg,archive/Forest Segmented/Forest Segmented/masks/713813_mask_21.jpg
3460,archive/Forest Segmented/Forest Segmented/images/810749_sat_25.jpg,archive/Forest Segmented/Forest Segmented/masks/544537_mask_70.jpg
4921,archive/Forest Segmented/Forest Segmented/images/888343_sat_55.jpg,archive/Forest Segmented/Forest Segmented/masks/767012_mask_02.jpg
3043,archive/Forest Segmented/Forest Segmented/images/784140_sat_77.jpg,archive/Forest Segmented/Forest Segmented/masks/827126_mask_64.jpg
2063,archive/Forest Segmented/Forest Segmented/images/361129_sat_07.jpg,archive/Forest Segmented/Forest Segmented/masks/605764_mask_54.jpg
1744,archive/Forest Segmented/Forest Segmented/images/434243_sat_76.jpg,archive/Forest Segmented/Forest Segmented/masks/940229_mask_21.jpg
2837,archive/Forest Segmented/Forest Segmented/images/866782_sat_30.jpg,archive/Forest Segmented/Forest Segmented/masks/534154_mask_07.jpg
755,archive/Forest Segmented/Forest Segmented/images/888343_sat_88.jpg,archive/Forest Segmented/Forest Segmented/masks/739760_mask_27.jpg
518,archive/Forest Segmented/Forest Segmented/images/772567_sat_73.jpg,archive/Forest Segmented/Forest Segmented/masks/570332_mask_34.jpg
3985,archive/Forest Segmented/Forest Segmented/images/400179_sat_63.jpg,archive/Forest Segmented/Forest Segmented/masks/839641_mask_54.jpg
32,archive/Forest Segmented/Forest Segmented/images/3484_sat_22.jpg,archive/Forest Segmented/Forest Segmented/masks/351271_mask_37.jpg
3080,archive/Forest Segmented/Forest Segmented/images/619800_sat_58.jpg,archive/Forest Segmented/Forest Segmented/masks/861353_mask_04.jpg
1157,archive/Forest Segmented/Forest Segmented/images/875328_sat_42.jpg,archive/Forest Segmented/Forest Segmented/masks/961407_mask_56.jpg
744,archive/Forest Segmented/Forest Segmented/images/888343_sat_77.jpg,archive/Forest Segmented/Forest Segmented/masks/406425_mask_62.jpg
2295,archive/Forest Segmented/Forest Segmented/images/148381_sat_64.jpg,archive/Forest Segmented/Forest Segmented/masks/202277_mask_17.jpg
3910,archive/Forest Segmented/Forest Segmented/images/156574_sat_22.jpg,archive/Forest Segmented/Forest Segmented/masks/406425_mask_45.jpg
4513,archive/Forest Segmented/Forest Segmented/images/7906_sat_87.jpg,archive/Forest Segmented/Forest Segmented/masks/208695_mask_81.jpg
4058,archive/Forest Segmented/Forest Segmented/images/133209_sat_30.jpg,archive/Forest Segmented/Forest Segmented/masks/428597_mask_05.jpg
783,archive/Forest Segmented/Forest Segmented/images/334677_sat_06.jpg,archive/Forest Segmented/Forest Segmented/masks/880610_mask_54.jpg
1909,archive/Forest Segmented/Forest Segmented/images/810749_sat_11.jpg,archive/Forest Segmented/Forest Segmented/masks/866782_mask_13.jpg
2622,archive/Forest Segmented/Forest Segmented/images/981852_sat_42.jpg,archive/Forest Segmented/Forest Segmented/masks/351271_mask_75.jpg
229,archive/Forest Segmented/Forest Segmented/images/848728_sat_66.jpg,archive/Forest Segmented/Forest Segmented/masks/713813_mask_40.jpg
857,archive/Forest Segmented/Forest Segmented/images/122104_sat_16.jpg,archive/Forest Segmented/Forest Segmented/masks/496948_mask_18.jpg
1611,archive/Forest Segmented/Forest Segmented/images/952430_sat_61.jpg,archive/Forest Segmented/Forest Segmented/masks/202277_mask_13.jpg
3794,archive/Forest Segmented/Forest Segmented/images/392711_sat_50.jpg,archive/Forest Segmented/Forest Segmented/masks/361129_mask_84.jpg
2471,archive/Forest Segmented/Forest Segmented/images/182422_sat_08.jpg,archive/Forest Segmented/Forest Segmented/masks/291214_mask_88.jpg
408,archive/Forest Segmented/Forest Segmented/images/192918_sat_24.jpg,archive/Forest Segmented/Forest Segmented/masks/499418_mask_72.jpg
170,archive/Forest Segmented/Forest Segmented/images/651312_sat_44.jpg,archive/Forest Segmented/Forest Segmented/masks/877160_mask_42.jpg
540,archive/Forest Segmented/Forest Segmented/images/428327_sat_64.jpg,archive/Forest Segmented/Forest Segmented/masks/713813_mask_80.jpg
2312,archive/Forest Segmented/Forest Segmented/images/215525_sat_11.jpg,archive/Forest Segmented/Forest Segmented/masks/33573_mask_27.jpg
4250,archive/Forest Segmented/Forest Segmented/images/949559_sat_82.jpg,archive/Forest Segmented/Forest Segmented/masks/919051_mask_18.jpg
2686,archive/Forest Segmented/Forest Segmented/images/202277_sat_53.jpg,archive/Forest Segmented/Forest Segmented/masks/443271_mask_87.jpg
613,archive/Forest Segmented/Forest Segmented/images/740937_sat_43.jpg,archive/Forest Segmented/Forest Segmented/masks/810749_mask_31.jpg
2447,archive/Forest Segmented/Forest Segmented/images/406425_sat_77.jpg,archive/Forest Segmented/Forest Segmented/masks/242583_mask_78.jpg
3422,archive/Forest Segmented/Forest Segmented/images/875328_sat_03.jpg,archive/Forest Segmented/Forest Segmented/masks/772567_mask_41.jpg
4579,archive/Forest Segmented/Forest Segmented/images/126796_sat_51.jpg,archive/Forest Segmented/Forest Segmented/masks/810368_mask_74.jpg
1161,archive/Forest Segmented/Forest Segmented/images/133209_sat_28.jpg,archive/Forest Segmented/Forest Segmented/masks/392711_mask_22.jpg
2153,archive/Forest Segmented/Forest Segmented/images/76759_sat_18.jpg,archive/Forest Segmented/Forest Segmented/masks/626208_mask_25.jpg
3066,archive/Forest Segmented/Forest Segmented/images/122104_sat_51.jpg,archive/Forest Segmented/Forest Segmented/masks/392711_mask_67.jpg
1720,archive/Forest Segmented/Forest Segmented/images/210473_sat_10.jpg,archive/Forest Segmented/Forest Segmented/masks/6399_mask_51.jpg
1736,archive/Forest Segmented/Forest Segmented/images/626208_sat_06.jpg,archive/Forest Segmented/Forest Segmented/masks/6399_mask_86.jpg
1564,archive/Forest Segmented/Forest Segmented/images/810749_sat_00.jpg,archive/Forest Segmented/Forest Segmented/masks/870705_mask_02.jpg
2298,archive/Forest Segmented/Forest Segmented/images/434243_sat_65.jpg,archive/Forest Segmented/Forest Segmented/masks/15573_mask_00.jpg
564,archive/Forest Segmented/Forest Segmented/images/27460_sat_38.jpg,archive/Forest Segmented/Forest Segmented/masks/875328_mask_61.jpg
4053,archive/Forest Segmented/Forest Segmented/images/316446_sat_48.jpg,archive/Forest Segmented/Forest Segmented/masks/192918_mask_23.jpg
4342,archive/Forest Segmented/Forest Segmented/images/981852_sat_23.jpg,archive/Forest Segmented/Forest Segmented/masks/570332_mask_15.jpg
2655,archive/Forest Segmented/Forest Segmented/images/119079_sat_78.jpg,archive/Forest Segmented/Forest Segmented/masks/182422_mask_17.jpg
1583,archive/Forest Segmented/Forest Segmented/images/33573_sat_04.jpg,archive/Forest Segmented/Forest Segmented/masks/134465_mask_63.jpg
1485,archive/Forest Segmented/Forest Segmented/images/111335_sat_10.jpg,archive/Forest Segmented/Forest Segmented/masks/524056_mask_78.jpg
1505,archive/Forest Segmented/Forest Segmented/images/784518_sat_62.jpg,archive/Forest Segmented/Forest Segmented/masks/774779_mask_76.jpg
5035,archive/Forest Segmented/Forest Segmented/images/943943_sat_63.jpg,archive/Forest Segmented/Forest Segmented/masks/3484_mask_32.jpg
3641,archive/Forest Segmented/Forest Segmented/images/72807_sat_66.jpg,archive/Forest Segmented/Forest Segmented/masks/533952_mask_26.jpg
2135,archive/Forest Segmented/Forest Segmented/images/952430_sat_71.jpg,archive/Forest Segmented/Forest Segmented/masks/877160_mask_27.jpg
2503,archive/Forest Segmented/Forest Segmented/images/605764_sat_78.jpg,archive/Forest Segmented/Forest Segmented/masks/652883_mask_52.jpg
4069,archive/Forest Segmented/Forest Segmented/images/998002_sat_03.jpg,archive/Forest Segmented/Forest Segmented/masks/850510_mask_82.jpg
1553,archive/Forest Segmented/Forest Segmented/images/880610_sat_86.jpg,archive/Forest Segmented/Forest Segmented/masks/575902_mask_76.jpg
1172,archive/Forest Segmented/Forest Segmented/images/897901_sat_88.jpg,archive/Forest Segmented/Forest Segmented/masks/981253_mask_62.jpg
1533,archive/Forest Segmented/Forest Segmented/images/825816_sat_77.jpg,archive/Forest Segmented/Forest Segmented/masks/6399_mask_53.jpg
325,archive/Forest Segmented/Forest Segmented/images/406425_sat_07.jpg,archive/Forest Segmented/Forest Segmented/masks/176225_mask_31.jpg
1051,archive/Forest Segmented/Forest Segmented/images/986342_sat_27.jpg,archive/Forest Segmented/Forest Segmented/masks/772452_mask_02.jpg
3089,archive/Forest Segmented/Forest Segmented/images/351271_sat_76.jpg,archive/Forest Segmented/Forest Segmented/masks/981852_mask_13.jpg
3524,archive/Forest Segmented/Forest Segmented/images/24813_sat_32.jpg,archive/Forest Segmented/Forest Segmented/masks/147716_mask_40.jpg
3027,archive/Forest Segmented/Forest Segmented/images/612214_sat_86.jpg,archive/Forest Segmented/Forest Segmented/masks/619800_mask_65.jpg
1554,archive/Forest Segmented/Forest Segmented/images/939614_sat_60.jpg,archive/Forest Segmented/Forest Segmented/masks/925425_mask_03.jpg
1614,archive/Forest Segmented/Forest Segmented/images/316446_sat_08.jpg,archive/Forest Segmented/Forest Segmented/masks/156574_mask_17.jpg
1196,archive/Forest Segmented/Forest Segmented/images/13415_sat_54.jpg,archive/Forest Segmented/Forest Segmented/masks/861353_mask_82.jpg
620,archive/Forest Segmented/Forest Segmented/images/499418_sat_27.jpg,archive/Forest Segmented/Forest Segmented/masks/417313_mask_41.jpg
3620,archive/Forest Segmented/Forest Segmented/images/739760_sat_81.jpg,archive/Forest Segmented/Forest Segmented/masks/428327_mask_20.jpg
4599,archive/Forest Segmented/Forest Segmented/images/888343_sat_42.jpg,archive/Forest Segmented/Forest Segmented/masks/880610_mask_75.jpg
1189,archive/Forest Segmented/Forest Segmented/images/392711_sat_12.jpg,archive/Forest Segmented/Forest Segmented/masks/778804_mask_64.jpg
328,archive/Forest Segmented/Forest Segmented/images/634717_sat_80.jpg,archive/Forest Segmented/Forest Segmented/masks/71619_mask_01.jpg
648,archive/Forest Segmented/Forest Segmented/images/565914_sat_21.jpg,archive/Forest Segmented/Forest Segmented/masks/784518_mask_76.jpg
897,archive/Forest Segmented/Forest Segmented/images/33573_sat_77.jpg,archive/Forest Segmented/Forest Segmented/masks/875328_mask_64.jpg
2031,archive/Forest Segmented/Forest Segmented/images/400179_sat_33.jpg,archive/Forest Segmented/Forest Segmented/masks/855_mask_51.jpg
1123,archive/Forest Segmented/Forest Segmented/images/644150_sat_58.jpg,archive/Forest Segmented/Forest Segmented/masks/122104_mask_14.jpg
